OBJECTID,FIPS,COUNTY,STATE,POPULATION,SQMI,mean_price_30_night_NoNull,mean_price_1_night_NoNull,Point_Count_1_NoNull,Shape_Length,Shape_Area,mean_price_01,mean_price_02,mean_price_03,mean_price_04,mean_price_05,mean_price_06,mean_price_07,mean_price_08,mean_price_09,mean_price_10,mean_price_11,mean_price_12,mean_price_13,mean_price_14,mean_price_15,mean_price_16,mean_price_17,mean_price_18,mean_price_19,mean_price_20,mean_price_21,mean_price_22,mean_price_23,mean_price_24,mean_price_25,mean_price_26,mean_price_27,mean_price_28,mean_price_29,mean_price_30,mean_price_31,Point_Count
54,06073008361,San Diego,CA,2935,0.22,5639.5,187.75,4,12562.74358,6099941.87,186.5,191,189.75,196.5,201.5,210.75,210.75,215,213,206.5,204,201.5,189,192,180.25,176,168.5,173,171,180.5,173,168.5,168.5,187.75,180.5,189,191,182,191,189.5,204,4
55,06073008362,San Diego,CA,3130,0.34,9236.9449,307.897764,2.66234,16802.69934,9418471.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
56,06073008363,San Diego,CA,5670,0.1,8989.75,299.75,4,7722.175392,2841328.364,312.25,312.25,299.75,312.25,312.25,312.25,312.25,312.25,312.25,312.25,299.75,312.25,312.25,312.25,312.25,312.25,312.25,312.25,312.25,312.25,312.25,307.5,312.25,312.25,312.25,312.25,312.25,312.25,312.25,312.25,307.5,4
57,06073008364,San Diego,CA,5120,0.38,9236.9449,307.897764,2.66234,19166.65299,10684959.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
58,06073008501,San Diego,CA,5269,1.16,9236.9449,307.897764,2.66234,24815.42792,32401350.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
59,06073010001,San Diego,CA,4167,0.82,9236.9449,307.897764,2.66234,30267.90462,21998089.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60,06073010003,San Diego,CA,5931,0.49,9236.9449,307.897764,2.66234,14900.25481,13896636.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61,06073010004,San Diego,CA,4739,0.54,9236.9449,307.897764,2.66234,20137.35692,15268256.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
62,06073010005,San Diego,CA,7723,0.58,9236.9449,307.897764,2.66234,18329.44244,16159024.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
63,06073010009,San Diego,CA,6759,1.57,9236.9449,307.897764,2.66234,31809.42312,43549619.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
64,06073010010,San Diego,CA,5549,0.45,9236.9449,307.897764,2.66234,15271.21786,12424818.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
